"country","iso","year","month","total","financial","humanitarian","military","commitments","to_be_allocated","gdp","pct_gdp"
"Denmark","DNK",2024,10,0.321748,0,0,0.321748,0,-0.321748,336.76308262323,0.0955413513541125
"Denmark","DNK",2024,11,0.134079,0,0,0.134079,0,-0.134079,336.76308262323,0.0398140434383681
"Denmark","DNK",2024,12,0.297129,0,0.00614,0.290989,0.00614,-0.290989,336.76308262323,0.0882308707015928
"Denmark","DNK",2025,1,0.384,0,0.384,0,0.384,0,336.76308262323,0.114026750500327
"Denmark","DNK",2025,2,0.309014,0,0.054295,0.254719,0.054295,-0.254719,336.76308262323,0.0917600580185105
"Denmark","DNK",2025,3,0.040216,0,0,0.040216,0,-0.040216,336.76308262323,0.0119419265576072
"Denmark","DNK",2025,4,0.897544,0,0,0.897544,0,-0.897544,336.76308262323,0.2665209003934
"Denmark","DNK",2025,5,0.563003,0,0,0.563003,0,-0.563003,336.76308262323,0.167180735968582
"Denmark","DNK",2025,7,0.090333,0,0.090333,0,0,-0.090333,336.76308262323,0.0268239022212136
"Denmark","DNK",2025,8,0.077377,0,0,0.077377,0,-0.077377,336.76308262323,0.0229766871704786
"Denmark","DNK",2025,9,0.214351,0,0,0.214351,0.375115,0.160764,336.76308262323,0.0636503854075406
"Denmark","DNK",2025,10,0.150776,0,0.003482,0.147294,0,-0.150776,336.76308262323,0.044772128472493
"Denmark","DNK",2025,11,0.188768,0,0.0013,0.187468,0.0013,-0.187468,336.76308262323,0.056053650100119
"Denmark","DNK",2025,12,0.154894,0,0,0.154894,0,-0.154894,336.76308262323,0.0459949465937439
"Denmark","DNK",2026,1,0.02008,0,0.02008,0,0,-0.02008,336.76308262323,0.00596264882824626
"Denmark","DNK",2026,2,0.098123,0,0.025434,0.072689,1.79955,1.701427,336.76308262323,0.0291371011441239
"Denmark","DNK",2026,4,0.0054,0,0.0054,0,0,-0.0054,336.76308262323,0.00160350117891085
"EU (Commission and Council)","EU",2022,2,0,0,0,0,1.2,1.2,0,0
"EU (Commission and Council)","EU",2022,3,1.6855,1.2705,0.415,0,1.0855,-0.6,0,0
"EU (Commission and Council)","EU",2022,4,0.72,0.12,0.6,0,0.72,0,0,0
"EU (Commission and Council)","EU",2022,5,0.8,0.6,0.2,0,0.2,-0.6,0,0
"EU (Commission and Council)","EU",2022,6,0.205,0,0.205,0,0.205,0,0,0
"EU (Commission and Council)","EU",2022,7,1.59,1.59,0,0,2.59,1,0,0
"EU (Commission and Council)","EU",2022,8,1,1,0,0,0,-1,0,0
"EU (Commission and Council)","EU",2022,9,0,0,0,0,5,5,0,0
"EU (Commission and Council)","EU",2022,10,2.15,2,0.15,0,0.15,-2,0,0
"EU (Commission and Council)","EU",2022,11,2.5,2.5,0,0,0,-2.5,0,0
"EU (Commission and Council)","EU",2022,12,0.53,0.5,0.03,0,18.03,17.5,0,0
"EU (Commission and Council)","EU",2023,1,3.005,3,0.005,0,0.005,-3,0,0
"EU (Commission and Council)","EU",2023,2,0.485,0,0.485,0,0.485,0,0,0
"EU (Commission and Council)","EU",2023,3,1.5,1.5,0,0,0,-1.5,0,0
"EU (Commission and Council)","EU",2023,4,1.555,1.5,0.055,0,0.055,-1.5,0,0
"EU (Commission and Council)","EU",2023,5,1.5,1.5,0,0,0,-1.5,0,0
"EU (Commission and Council)","EU",2023,6,1.5,1.5,0,0,50.675,49.175,0,0
"EU (Commission and Council)","EU",2023,7,1.5,1.5,0,0,0,-1.5,0,0
"EU (Commission and Council)","EU",2023,8,1.5,1.5,0,0,0,-1.5,0,0
"EU (Commission and Council)","EU",2023,9,1.5,1.5,0,0,0,-1.5,0,0
"EU (Commission and Council)","EU",2023,10,1.558,1.5,0.058,0,0.058,-1.5,0,0
"EU (Commission and Council)","EU",2023,11,1.5,1.5,0,0,0,-1.5,0,0
"EU (Commission and Council)","EU",2023,12,1.647412,1.6,0.047412,0,0.147412,-1.5,0,0
"EU (Commission and Council)","EU",2024,2,0.075,0,0.075,0,0.075,0,0,0
"EU (Commission and Council)","EU",2024,3,4.5,4.5,0,0,0,-4.5,0,0
"EU (Commission and Council)","EU",2024,4,1.50357,1.5,0.00357,0,0.00357,-1.5,0,0
"EU (Commission and Council)","EU",2024,6,3.373319,3.35465,0.018669,0,0.129069,-3.24425,0,0
"EU (Commission and Council)","EU",2024,7,0.796,0.796,0,0,0.796,0,0,0
"EU (Commission and Council)","EU",2024,8,4.3,4.3,0,0,0,-4.3,0,0
"EU (Commission and Council)","EU",2024,9,0.306,0.05,0.256,0,0.306,0,0,0
"EU (Commission and Council)","EU",2024,10,0,0,0,0,18.1,18.1,0,0
"EU (Commission and Council)","EU",2024,11,0.065,0,0.065,0,0.065,0,0,0
"EU (Commission and Council)","EU",2024,12,4.2,4.2,0,0,0,-4.2,0,0
"EU (Commission and Council)","EU",2025,1,3.14,3,0.14,0,0.14,-3,0,0
"EU (Commission and Council)","EU",2025,3,4.60172,4.60172,0,0,0,-4.60172,0,0
